file_prefix,system,source_file,generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
c1,GRAPHDB,c1_openrouter_activity_2026-02-28.csv,gen-1772256159-BbRYg7uAPWi99zQNlPPW,2026-02-28 05:22:39.490,0.002376,,,0,0,620,36,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1626,1183,,BIM+IOT Assistant Proto
c1,GRAPHDB,c1_openrouter_activity_2026-02-28.csv,gen-1772256153-5eVYzqGbMMRz6GPM7rGu,2026-02-28 05:22:33.352,0.023463,,,0,0,6905,199,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,3936,1265,,BIM+IOT Assistant Proto
c1,GRAPHDB,c1_openrouter_activity_2026-02-28.csv,gen-1772256151-V0fFEAhm3h4ltKPyMXLE,2026-02-28 05:22:31.645,0.002839,,,0,0,746,42,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1615,1218,,BIM+IOT Assistant Proto
c1,GRAPHDB,c1_openrouter_activity_2026-02-28.csv,gen-1772256149-KInTG68CTwce3ocQ9nvg,2026-02-28 05:22:29.684,0.002376,,,0,0,620,36,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1611,1171,,BIM+IOT Assistant Proto
c1,GRAPHDB,c1_openrouter_activity_2026-02-28.csv,gen-1772256143-6Iuk75cCNam8fw69Q9wY,2026-02-28 05:22:23.456,0.023463,,,0,0,6905,199,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,4042,1373,,BIM+IOT Assistant Proto
c1,GRAPHDB,c1_openrouter_activity_2026-02-28.csv,gen-1772256141-XZrsSDc0kMaBv30X1ET3,2026-02-28 05:22:21.749,0.002839,,,0,0,746,42,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1616,1214,,BIM+IOT Assistant Proto
c1,GRAPHDB,c1_openrouter_activity_2026-02-28.csv,gen-1772256139-ZbLrRCHG0lvAsISUqaEw,2026-02-28 05:22:19.985,0.002376,,,0,0,620,36,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1642,1197,,BIM+IOT Assistant Proto
c1,GRAPHDB,c1_openrouter_activity_2026-02-28.csv,gen-1772256134-bHxTDjReeebJjOvpjSml,2026-02-28 05:22:14.484,0.023463,,,0,0,6905,199,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,3415,746,,BIM+IOT Assistant Proto
c1,GRAPHDB,c1_openrouter_activity_2026-02-28.csv,gen-1772256133-WaZ2RBmCNiEW2luSwvKQ,2026-02-28 05:22:13.300,0.002839,,,0,0,746,42,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1095,693,,BIM+IOT Assistant Proto
c1,GRAPHDB,c1_openrouter_activity_2026-02-28.csv,gen-1772256131-38pcvXsdb7qOKOOXuk4k,2026-02-28 05:22:11.611,0.002376,,,0,0,620,36,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1606,1345,,BIM+IOT Assistant Proto
